city,post_date,price,title,url

raleigh,2017-06-29 10:28am,$59000,Investors...Looking for Passive Income? Take a look HERE,https://raleigh.craigslist.org/reo/6197624568.html

raleigh,2017-07-06  1:57pm,$43750,Creative financing available for this charming 3/1 house!,https://raleigh.craigslist.org/reo/6207356929.html

kansascity,2017-07-06 10:50am,$25900,RENT TO OWN THIS FANTASTIC REMODELED MOBILE HOME,https://kansascity.craigslist.org/reo/6207121534.html

kansascity,2017-06-07 11:26am,,"Lake Sexton Estates, Leeton MO",https://kansascity.craigslist.org/reb/6166296248.html

kansascity,2017-06-13 10:38am,,"KC Investor Group, New or Seasoned. Learn, collaborate, earn!",https://kansascity.craigslist.org/reo/6174969148.html

raleigh,2017-07-06  6:09pm,$25000,1-Acre Lot - Mebane/Efland Area - No covs,https://raleigh.craigslist.org/reo/6207768654.html

raleigh,2017-06-21  2:24am,,Fast & Reliable Private Funding for REI,https://raleigh.craigslist.org/reo/6186043152.html

kansascity,2017-06-28  9:40am,$42900,"Handyman Special - $2500 Down, $445/Month",https://kansascity.craigslist.org/reo/6196249153.html

kansascity,2017-06-19 10:27am,$47455,"Handyman Special - $2500 Down, $495/Month",https://kansascity.craigslist.org/reo/6183370314.html

kansascity,2017-06-27  1:45pm,$47950,"Handyman Special - $3000 Down, $495/Month",https://kansascity.craigslist.org/reo/6195236564.html

sanmarcos,2017-06-19 12:35pm,,2 Acres only 10 Miles East of San Marcos! Trees and OWNER FINANCING!,https://sanmarcos.craigslist.org/reb/6183603956.html

raleigh,2017-07-06  8:47pm,$1,Fix And Flips Deals In Inventory/ Rental Deals In Inventory. INVESTORS,https://raleigh.craigslist.org/reo/6207964197.html

raleigh,2017-06-29  4:44pm,$125000,Fantastic Price on Large Wooded Lot in Governors Club,https://raleigh.craigslist.org/reb/6198206003.html

raleigh,2017-07-06 10:43pm,,Need To Sell We Can Help You!,https://raleigh.craigslist.org/reo/6208084817.html

raleigh,2017-06-22  3:58pm,$299970,"6 Turn Key Rentals, Well Below Market Value.",https://raleigh.craigslist.org/reb/6188408293.html

raleigh,2017-06-22  4:05pm,$299970,"6 House package deal,well below Fmv. All Turnkey!",https://raleigh.craigslist.org/reo/6188418307.html

raleigh,2017-06-22 10:11pm,,"28 acres, wooded with creek - $5k/acre - w/ Beautiful villa - $90/sf",https://raleigh.craigslist.org/reo/6188862050.html

kansascity,2017-06-17  8:34pm,$159500,"BEAUTIFUL Water Front Lot, Full View of Lake, Air Strip & Hanger,",https://kansascity.craigslist.org/reo/6181614168.html

kansascity,2017-06-27 11:16am,,Fast and Reliable Private Funding for Real Estate Investors Like You,https://kansascity.craigslist.org/reo/6194983280.html

